Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord,Release Year,year
7,3,16,2021-05-14--2021-05-21,Kiss Me More (feat. SZA),29356736,Doja Cat,8640063.0,748mdHapucXQri7IAO8yFK, pop,2021-04-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16",94.0,0.762,0.701,-3.5410000000000004,0.0286,0.235,0.12300000000000001,110.96799999999999,208867.0,0.742,G#/Ab,2021.0,1970.0
8,2,10,2021-06-18--2021-06-25,Todo De Ti,26951613,Rauw Alejandro,6080597.0,4fSIb4hdOQ151TILNsSEaF,puerto rican pop,2021-05-20,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604.0,0.342,D#/Eb,2021.0,1970.0
8,2,10,2021-06-18--2021-06-25,Todo De Ti,26951613,Rauw Alejandro,6080597.0,4fSIb4hdOQ151TILNsSEaF, trap latino,2021-05-20,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604.0,0.342,D#/Eb,2021.0,1970.0
9,3,8,2021-06-18--2021-06-25,Yonaguni,25030128,Bad Bunny,36142273.0,2JPLbjOn0wPCngEot2STUS,latin,2021-06-04,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",96.0,0.644,0.648,-4.601,0.11800000000000001,0.276,0.135,179.951,206710.0,0.44,C#/Db,2021.0,1970.0
9,3,8,2021-06-18--2021-06-25,Yonaguni,25030128,Bad Bunny,36142273.0,2JPLbjOn0wPCngEot2STUS, reggaeton,2021-06-04,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",96.0,0.644,0.648,-4.601,0.11800000000000001,0.276,0.135,179.951,206710.0,0.44,C#/Db,2021.0,1970.0
9,3,8,2021-06-18--2021-06-25,Yonaguni,25030128,Bad Bunny,36142273.0,2JPLbjOn0wPCngEot2STUS, trap latino,2021-06-04,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",96.0,0.644,0.648,-4.601,0.11800000000000001,0.276,0.135,179.951,206710.0,0.44,C#/Db,2021.0,1970.0
10,8,10,2021-07-02--2021-07-09,I WANNA BE YOUR SLAVE,24551591,Måneskin,3377762.0,4pt5fDVTg5GhEvEtlz9dKk,indie rock italiano,2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.75,0.608,-4.008,0.0387,0.00165,0.17800000000000002,132.507,173347.0,0.958,C#/Db,2021.0,1970.0
10,8,10,2021-07-02--2021-07-09,I WANNA BE YOUR SLAVE,24551591,Måneskin,3377762.0,4pt5fDVTg5GhEvEtlz9dKk, italian pop,2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.75,0.608,-4.008,0.0387,0.00165,0.17800000000000002,132.507,173347.0,0.958,C#/Db,2021.0,1970.0
11,4,43,2021-05-07--2021-05-14,Levitating (feat. DaBaby),23518010,Dua Lipa,27142474.0,463CkQjx2Zk1yXoBuierM9,dance pop,2020-10-01,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09",89.0,0.7020000000000001,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915,F#/Gb,2020.0,1970.0
11,4,43,2021-05-07--2021-05-14,Levitating (feat. DaBaby),23518010,Dua Lipa,27142474.0,463CkQjx2Zk1yXoBuierM9, pop,2020-10-01,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09",89.0,0.7020000000000001,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915,F#/Gb,2020.0,1970.0
11,4,43,2021-05-07--2021-05-14,Levitating (feat. DaBaby),23518010,Dua Lipa,27142474.0,463CkQjx2Zk1yXoBuierM9, uk pop,2020-10-01,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09",89.0,0.7020000000000001,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915,F#/Gb,2020.0,1970.0
12,9,9,2021-07-02--2021-07-09,Qué Más Pues?,22405111,"J Balvin, Maria Becerra",29051363.0,6hf0RpxTbOprT5nnwzkk8e,latin,2021-05-28,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04",95.0,0.8909999999999999,0.8190000000000001,-3.964,0.106,0.0261,0.17300000000000001,101.96799999999999,217773.0,0.768,G#/Ab,2021.0,1970.0
12,9,9,2021-07-02--2021-07-09,Qué Más Pues?,22405111,"J Balvin, Maria Becerra",29051363.0,6hf0RpxTbOprT5nnwzkk8e, reggaeton,2021-05-28,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04",95.0,0.8909999999999999,0.8190000000000001,-3.964,0.106,0.0261,0.17300000000000001,101.96799999999999,217773.0,0.768,G#/Ab,2021.0,1970.0
12,9,9,2021-07-02--2021-07-09,Qué Más Pues?,22405111,"J Balvin, Maria Becerra",29051363.0,6hf0RpxTbOprT5nnwzkk8e, reggaeton colombiano,2021-05-28,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04",95.0,0.8909999999999999,0.8190000000000001,-3.964,0.106,0.0261,0.17300000000000001,101.96799999999999,217773.0,0.768,G#/Ab,2021.0,1970.0
13,5,3,2021-07-09--2021-07-16,Permission to Dance,22062812,BTS,37106176.0,0LThjFY2iTtNdd4wviwVV2,k-pop,2021-07-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",95.0,0.7020000000000001,0.741,-5.33,0.0427,0.0054399999999999995,0.337,124.925,187585.0,0.6459999999999999,A,2021.0,1970.0
13,5,3,2021-07-09--2021-07-16,Permission to Dance,22062812,BTS,37106176.0,0LThjFY2iTtNdd4wviwVV2, k-pop boy group,2021-07-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",95.0,0.7020000000000001,0.741,-5.33,0.0427,0.0054399999999999995,0.337,124.925,187585.0,0.6459999999999999,A,2021.0,1970.0
14,1,19,2021-04-02--2021-04-09,Peaches (feat. Daniel Caesar & Giveon),20294457,Justin Bieber,48504126.0,4iJyoBOLtHqaGxP12qzhQI,canadian pop,2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26",94.0,0.677,0.696,-6.181,0.11900000000000001,0.321,0.42,90.03,198082.0,0.46399999999999997,C,2021.0,1970.0
14,1,19,2021-04-02--2021-04-09,Peaches (feat. Daniel Caesar & Giveon),20294457,Justin Bieber,48504126.0,4iJyoBOLtHqaGxP12qzhQI, pop,2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26",94.0,0.677,0.696,-6.181,0.11900000000000001,0.321,0.42,90.03,198082.0,0.46399999999999997,C,2021.0,1970.0
14,1,19,2021-04-02--2021-04-09,Peaches (feat. Daniel Caesar & Giveon),20294457,Justin Bieber,48504126.0,4iJyoBOLtHqaGxP12qzhQI, post-teen pop,2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26",94.0,0.677,0.696,-6.181,0.11900000000000001,0.321,0.42,90.03,198082.0,0.46399999999999997,C,2021.0,1970.0
15,2,10,2021-05-21--2021-05-28,Butter,19985713,BTS,37106176.0,2bgTY4UwhfBYhGT4HUYStN,k-pop,2021-06-04,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.759,0.45899999999999996,-5.187,0.0948,0.00323,0.0906,109.99700000000001,164442.0,0.695,G#/Ab,2021.0,1970.0
15,2,10,2021-05-21--2021-05-28,Butter,19985713,BTS,37106176.0,2bgTY4UwhfBYhGT4HUYStN, k-pop boy group,2021-06-04,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.759,0.45899999999999996,-5.187,0.0948,0.00323,0.0906,109.99700000000001,164442.0,0.695,G#/Ab,2021.0,1970.0
